SMILES,JAK1,pIC50_JAK1,JAK2,pIC50_JAK2,JAK3,pIC50_JAK3,TYK2,pIC50_TYK2
C#CCSc1nsc(SCC#C)c1C#N,,,2833,-3.452246575,,,,
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],,,3498,-3.543819805,,,,
C/C=C/C(=O)N1CCC(CC#N)(n2cc(C(=N)O)c(=Nc3ccccc3)[nH]2)CC1,2,-0.301029996,64,-1.806179974,,,,
C/C=C/C(=O)N1CCC[C@@H](N2CC(C)c3c[nH]c4ncnc2c34)C1,,,,,5500,-3.740362689,,
C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(C(=O)NCCO)c23)C1,,,,,8090,-3.907948522,,
C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(Cc4ccc(O)cc4)c23)C1,,,,,123,-2.089905111,,
C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCO)c23)C1,,,,,4158,-3.618884485,,
C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCOC)c23)C1,,,,,3097,-3.490941205,,
C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1,2290,-3.359835482,,,,,,
C/C=C/C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,,,,,115,-2.06069784,,
C/C=C/C(=O)Nc1ccc(CNc2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,2032,-3.307923704,,,110,-2.041392685,,
C/C=C/C(=O)Nc1ccc(CNc2cc(Nc3cnn(C)c3)ncn2)cc1,1586,-3.200303183,,,410,-2.612783857,,
C/C=C/C(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,,,,,31.7,-1.501059262,,
C/C=C/C(=O)Nc1cccc(CNc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c1,1821,-3.260309946,,,98.1,-1.991669007,,
C/C=C/C(=O)Nc1cccc(CNc2cc(Nc3cnn(C)c3)ncn2)c1,1319,-3.120244796,,,364,-2.561101384,,
C/C=C/C(=O)OCc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,,,,,550,-2.740362689,,
C/C=C/C(O)=NC1CCC=C(c2nc[nH]c3ncc(-c4ccccc4)c2-3)C1,730,-2.86332286,600,-2.77815125,,,,
C/C=C/C(O)=Nc1cccc(-c2nc[nH]c3ncc(C(=O)OCC)c2-3)c1,,,483,-2.683947131,,,,
C/C=C/C(O)=Nc1cccc(CNc2c(C(=N)O)cnn3cccc23)c1,1422,-3.152899596,,,,,,
C/C=C/S(=O)(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,,,10,-1,,
C/C=C\C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,,,10,-1,,
C[C@@](O)(c1ccc(N=c2[nH]n([C@@H]3CCCC[C@H]3C#N)cc2C(=N)O)cn1)C(F)(F)F,2,-0.301029996,11,-1.041392685,,,,
C[C@@](O)(c1ccc(Nc2nn([C@@H]3CC[C@@H](N4CCC4)C[C@H]3C#N)cc2C(=N)O)cc1)C(F)(F)F,0.2,0.698970004,7,-0.84509804,,,,
C[C@@](O)(c1ccc(Nc2nn([C@@H]3CC[C@@H](O)C[C@H]3C#N)cc2C(=N)O)cc1)C(F)(F)F,0.45,0.346787486,2,-0.301029996,,,,
