SMILES,JAK1,JAK1_true,JAK1_IC50,pIC50_JAK1,JAK2,JAK2_true,JAK2_IC50,pIC50_JAK2,JAK3,JAK3_true,JAK3_IC50,pIC50_JAK3,TYK2,TYK2_true,TYK2_IC50,pIC50_TYK2
FC(F)(F)c1ccc(C=Cc2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1,102.61,0,20000,-4.301029996,98.91,0,20000,-4.301029996,92.99,0,6632.667618,-3.821688234,99.11,0,20000,-4.301029996
COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,105.19,0,20000,-4.301029996,95.65,0,10994.25287,-4.041165722,93.05,0,6694.244604,-3.825701577,106.55,0,20000,-4.301029996
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,98.79,0,20000,-4.301029996,96.26,0,12868.98396,-4.10954426,93.7,0,7436.507937,-3.871369046,100.72,0,20000,-4.301029996
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,105.36,0,20000,-4.301029996,99.5,0,20000,-4.301029996,93.85,0,7630.081301,-3.882529166,101.56,0,20000,-4.301029996
Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,105.67,0,20000,-4.301029996,93.65,0,7374.015748,-3.867704061,94.31,0,8287.346221,-3.918415483,107.15,0,20000,-4.301029996
c1ccc2c(-c3ccncc3)c[nH]c2c1,109.24,0,20000,-4.301029996,93.84,0,7616.883117,-3.881777291,95.27,0,10070.82452,-4.003065029,101.03,0,20000,-4.301029996
Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,102.02,0,20000,-4.301029996,96.23,0,12762.59947,-4.10593914,95.75,0,11264.70588,-4.051719857,105.55,0,20000,-4.301029996
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,105.07,0,20000,-4.301029996,89.19,0,4125.346901,-3.615460474,95.93,0,11785.01229,-4.07133004,97.62,0,20000,-4.301029996
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,99.14,0,20000,-4.301029996,101.91,0,20000,-4.301029996,96.03,0,12094.45844,-4.082586426,97.72,0,20000,-4.301029996
CCc1[nH]c(-c2ccc(OC)cc2)nc1-c1ccncc1,110.21,0,20000,-4.301029996,96.65,0,14425.37313,-4.159127056,96.1,0,12320.51282,-4.090628785,105.65,0,20000,-4.301029996
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,101.53,0,20000,-4.301029996,99.85,0,20000,-4.301029996,96.64,0,14380.95238,-4.157787648,101.66,0,20000,-4.301029996
COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,101.55,0,20000,-4.301029996,95.95,0,11845.67901,-4.07355996,96.65,0,14425.37313,-4.159127056,108.38,0,20000,-4.301029996
N#CC(=C(N)Sc1ccccc1N)c1cccc(C(O)c2ccncc2)c1,106.93,0,20000,-4.301029996,99.65,0,20000,-4.301029996,96.71,0,14697.56839,-4.16724549,105.07,0,20000,-4.301029996
O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,108.48,0,20000,-4.301029996,104.36,0,20000,-4.301029996,96.86,0,15423.56688,-4.188184821,98.47,0,20000,-4.301029996
